,5_long,13_long,16_long,20_long,22_long,26_long,27_long,28_long,29_long,30_long,31_long,39_long,42_long,45_long,53_long,56_long,67_long,69_long,73_long,77_long,78_long,81_long,83_long,84_long,88_long,89_long,98_long,99_long,108_long,109_long,110_long,112_long,115_long,119_long,120_long,128_long,129_long,130_long,131_long,134_long,136_long,140_long,145_long,146_long,147_long,150_long,151_long,naive_ave_pnl
2022-06-30,0.08234428902618098,0.0,0.0,0.0,0.3381873010189945,0.35521564959305296,0.4567695860479896,0.0,0.3166960585670912,0.3501142253852463,0.3301909421611652,0.0,0.0,0.0,0.0,0.43899469896394006,0.0,0.0,0.428949821146964,0.30224380870214873,0.379956617703627,0.0,0.0,0.0,0.0,0.0,0.07652164891438795,0.1456144114632956,0.3604197518057095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47191122384418666,0.0,0.0,0.2657730963489193,0.16009274998911902,0.0,0.24137120301388368,0.0822214197872752,0.0,0.3259909500758994,0.0,0.5345513912202161
2022-07-31,0.08338317700348524,0.0,0.0,0.0,0.3171438106089014,0.3550734784830724,0.48602535366516725,0.0,0.3157352631112267,0.3464203975399902,0.32811627480398947,0.0,0.0,0.0,0.0,0.436471171158306,0.0,0.0,0.41198200883237074,0.2167490850580077,0.36996669843472507,0.0,0.0,0.0,0.0,0.0,0.07473179458130308,0.145120451621528,0.3564502420498075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47213859128200825,0.0,0.0,0.2609572428861679,0.15923250766104,0.0,0.23653772439593554,0.07947146310112883,0.0,0.3052482305998158,0.0,0.5364222187264529
2022-08-31,0.10039922797775856,0.0,0.0,0.0,0.3224564636664337,0.36372919536957876,0.48655714216251567,0.0,0.3225716894235253,0.35673750732288784,0.3386923528699041,0.0,0.0,0.0,0.0,0.44092998670311523,0.0,0.0,0.3964846739306284,0.20866219952351164,0.37162927935680035,0.0,0.0,0.33877023884600194,0.0,0.0,0.08819835716353233,0.15389524347573766,0.3708475131979296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045196845326843,0.0,0.0,0.2733006120329623,0.41621772890556613,0.0,0.24950518406529917,0.08374284349298863,0.0,0.30195107313840225,0.0,0.509026913233827
2022-09-30,0.10929723681727702,0.0,0.0,0.0,0.3210614799463252,0.36750149818996186,0.5609094509014867,0.0,0.32480786464914924,0.35880853117739453,0.34204127854781957,0.0,0.0,0.0,0.0,0.4398432579552909,0.0,0.0,0.4245312866418863,0.24878794205591565,0.3699280258527781,0.0,0.0,0.35667259218344166,0.0,0.0,0.09491943539967984,0.15756126227422823,0.3745902990893196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5349802560745957,0.0,0.0,0.276420137622755,0.4215429563975176,0.0,0.3525340449339451,0.08656760061717413,0.0,0.29830995627754925,0.0,0.5164763047136164
2022-10-31,0.12592378365241746,0.0,0.0,0.0,0.32942491674892893,0.37414830902110413,0.5806537240086238,0.0,0.3302623893230591,0.3686834147181963,0.35002615612169213,0.0,0.0,0.0,0.0,0.4410527184497861,0.0,0.0,0.4183258027134924,0.24290882113117848,0.37119559400040475,0.0,0.0,0.3788870337490261,0.0,0.0,0.109728493583146,0.1654163908416376,0.3866125738977827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542378147046624,0.0,0.0,0.28424066945533055,0.4306288628842517,0.0,0.3554182349758099,0.0931238855804384,0.0,0.29986724594914804,0.0,0.5185241995125283
2022-11-30,0.13581633381666258,0.0,0.0,0.0,0.33314039665597694,0.37889422453179494,0.5826433711515727,0.0,0.33283154671862386,0.3720387827003731,0.35379978863986766,0.0,0.0,0.0,0.0,0.3473061933494274,0.0,0.0,0.4149718214575259,0.23574235798826235,0.36691174322905185,0.0,0.0,0.30426373590933803,0.0,0.0,0.11914449282929407,0.16997919494261723,0.3911171181677891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5415409625629075,0.0,0.0,0.287270722143317,0.3458203928442442,0.0,0.35367268187314876,0.09846422701611564,0.0,0.298407363378101,0.0,0.4883637587322918
2022-12-31,0.1371566333719335,0.0,0.0,0.0,0.33346444592684327,0.38173260095699996,0.6220545361995855,0.0,0.33290968481819116,0.36724585512953584,0.3541052760501646,0.5386098871599799,0.0,0.0,0.0,0.32905741181311854,0.0,0.0,0.3866610374137956,0.2205728418557332,0.3766678719789842,0.0,0.0,0.2865241353434138,0.0,0.0,0.12161830176601143,0.4211779216153453,0.38811507579275195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826915918737181,0.0,0.0,0.28677871307504577,0.37846749822135645,0.0,0.34927320504411646,0.10214268942746553,0.0,0.2961757785121358,0.0,0.50661851397718
2023-01-31,0.13608495511884633,0.0,0.0,0.30129199759864367,0.33174073552048333,0.3827535664918657,0.6360842306362614,0.0,0.3324809627529322,0.3614503864929893,0.3529593665650634,0.5404445420503825,0.0,0.0,0.3317392443291916,0.32320624461396774,0.0,0.0,0.38575730735314107,0.20938195094847084,0.3663272474703547,0.0,0.0,0.2911481841950287,0.0,0.0,0.12195865800928966,0.3156519002303028,0.3576751190894447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624509597798434,0.0,0.0,0.2838433304286859,0.37484092400594937,0.0,0.3428198972835615,0.10628347074026102,0.0,0.2936110567122561,0.0,0.49628164362288285
2023-02-28,0.1394484846594332,0.0,0.0,0.29513988141297814,0.33397301455202927,0.38476112855384986,0.636947061777195,0.0,0.3337866340522698,0.3602823316467197,0.3543271688513672,0.5856471927611129,0.0,0.0,0.32449525495590437,0.3231671350631941,0.0,0.0,0.386734564404612,0.20498223780716324,0.3627756581957812,0.0,0.0,0.30086108705604986,0.0,0.0,0.12667684293170028,0.316638690168221,0.3679581812100867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930714305185024,0.0,0.0,0.28371611345012054,0.3591124270470946,0.0,0.3397396310303649,0.11174189412929378,0.0,0.29308312058976743,0.0,0.4884746340143367
2023-03-31,0.1444516339719757,0.0,0.0,0.29289155351494445,0.3385155302439294,0.38762717679297154,0.6296065036747184,0.0,0.353815531230108,0.360322602011501,0.35689611048754133,0.492139528812962,0.0,0.0,0.32336878267359853,0.3255898279832116,0.0,0.0,0.38858617460753686,0.20270568988159135,0.36123644402154054,0.0,0.0,0.31515157680543077,0.0,0.0,0.1333931792446505,0.45823908327111873,0.37399450303139586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172050341074625,0.0,0.0,0.2848834801597486,0.35895044244719176,0.0,0.33799350182187854,0.11875743354354647,0.0,0.2932409374805994,0.0,0.4873652227649934
